"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9808409249.40877","8953713983.52319","5329816706.49745","4976010199.69282","5356711773.86583","5846400147.93725","6302639313.86128","6628399563.03319","7192322810.54708","7536939292.96301","8160045754.95071","9139577172.24627","10509650580.8786","12203500269.3471","13847909043.5482","16264081042.8076","18968092453.3076","22146063400.512","24134635012.4078","20889699218.1128","21598045116.0039","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38432837649.8584","42091960116.6692","39364077382.2069",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724556100.718993","765362715.241753","791873242.80906","853444312.345216","929867748.187428","907977704.783545","985667483.481136","1058189112.69129","1120726980.9667","1179060284.10002","1280195144.17377","1248774864.26956","1281560907.27004","1384681527.42647","1503964936.73947","1651209567.74817","1917366845.05439","2152280699.07979","2193830738.54859","1946113356.08119","1814425571.79809","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10692","2073464728.33562","2181204769.77483","1854990194.80447",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295755679708.594","307387504709.243","317975988860.035","337750629573.261","357997684882.715","377282939127.98","402077608136.676","424498055212.398","452277935860.955","478153359805.698","504134663847.445","531400973465.601","564353642750.787","591584165728.652","630152876506.608","664362022420.762","709707471718.325","761142267134.217","795980320105.904","874191899115.988","865877322217.83","937507114248.881","973601321979.203","1061628486313.88","1100545339758.17","1102402742501.65","1145196792620.93","1192763305275.68","1255451034244.82","1324171341809.51","1349040354247.11",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149145342999.59","159495763417.647","166545749212.916","171389781662.458","179254572750.228","187895841068.847","194997724645.825","202530464280.463","212772428725.153","220639956878.73","235450130397.497","238981890375.598","251984858807.042","260788024528.616","275769919640.967","288086851811.747","310998506693.173","326699481036.73","343812802543","341644243759.125","351609937876.39","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476563833452.257","504354829210.452","520804362662.715","493585434869.918",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38348283566.7729","39367615086.8314","31164930206.5626","24533903139.8503","20121417975.7433","18119229582.4128","18690849584.153","20128527266.1494","22390585977.8387","24394687745.178","27708367369.0982","31119426600.9745","34595460526.0767","38835124894.3641","43571124846.9642","57490995233.3418","79645398626.3441","102609960862.443","115685123782.801","127488303325.951","135150732838.323","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144631822683.348","150864843306.307","146111232891.693",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3343218160.13726","3628982376.7027","3749171575.05258","3598545997.92306","3534622757.6616","3322928056.98163","3113068217.85374","3118352162.52855","3303238719.97173","3317086594.10513","3362180905.95967","3506563882.74682","3720415742.34283","3743134142.91073","4029708575.80255","4192628759.83367","4553356025.89181","4837073839.93406","5170900206.2792","5408976901.06728","5752399507.71457","6109378663.94635","6386094258.45455","7069203706.21655","7649427870.69596","8551152238.70251","8358351140.30498","8375481076.5592","8714651910.38732","9033653418.07496","9170284762.65345",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185820789376.227","195626299253.053","203147044167.315","205959896251.348","217146039918.875","226986232383.393","230441758603.372","241539960530.414","248626123165.287","260168701709.78","284950368057.724","296258534660.922","312900377877.018","320632918897.717","333856768305.508","347658412088.972","371414945627.342","390457830941.967","405729462246.522","407862655447.307","434412405764.091","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.566","601777607556.431","628555971065.059","600544271110.637",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6266778980.84084","6752483644.83647","7110637047.35056","7704008956.54848","8027497847.74483","8691280501.8499","9233132139.9759","9937195423.44491","10447084302.1134","11164002187.4058","12082144945.2969","13005648454.7123","13824774838.4711","14566421816.8017","15621198734.1148","16383743020.1581","17545233924.4818","19095081332.5382","20419698276.0852","21052570732.5208","21748137021.3122","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8647","37173273024.8114","40434633627.9884","42499509578.646",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5194776255.17158","5857550290.7247","6004980400.78973","6360101197.4054","6581338077.9775","7103444925.38865","8030258957.33215","8690182135.43683","9430193718.02498","10273801310.7499","10701824788.6934","11659840501.0674","12359848400.9137","13571668356.7838","14561210412.9236","16315345253.9871","17860180506.1432","19093979820.3741","20594373474.422","21366020198.687","23440650603.1545","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42885153229.5424","46138562483.9889","47641835514.0019",
